Cluster	cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
b	b	GO:0033627	cell adhesion mediated by integrin	18/2026	94/28928	0.191489361702128	2.73415807271429	4.6214610360202	8.13952151750551e-05	0.000571185387309741	0.000317951058886831	Itga5/Itga2/Vtn/Rac3/Plau/Itgb5/Cxcl13/Cyp1b1/Itga8/Fbn1/Vcam1/Plpp3/Emilin1/Ret/Itga11/Itga9/Col16a1/Npnt	18
b	b	GO:0097696	cell surface receptor signaling pathway via STAT	29/2026	193/28928	0.150259067357513	2.14545621940678	4.3815793640894	8.14882194296706e-05	0.000571185387309741	0.000317951058886831	Naglu/Stat3/Cav1/Hnf4a/Igf1/Stat5b/Prl7d1/Il6st/Prl2a1/Il10rb/Ifnar2/Cyp1b1/Agap2/Stat1/Jak1/Ephb2/Ret/Tnfrsf1a/Cish/Pkd1/Pkd2/Mgat5/Socs5/Gbp7/C1qtnf4/Cdk5r1/Socs3/Prl2c5/Ghr	29
b	b	GO:2000243	positive regulation of reproductive process	20/2026	111/28928	0.18018018018018	2.57268126962105	4.55571927346842	8.23835230635032e-05	0.000576781583236362	0.000321066188335411	Sirt2/Vip/Ednrb/Zfpm2/Cacna1h/Nr5a1/Tacr3/Npr2/Sema3a/Mfn2/Stra8/Tacr1/Syde1/Rbm46/Wnt4/Cftr/Inhba/Lhfpl2/Plcb1/Pde5a	20
b	b	GO:0031503	protein-containing complex localization	37/2026	272/28928	0.136029411764706	1.94227977469369	4.28485047521082	8.2925507573028e-05	0.000579067879418056	0.000322338857959056	Rab11a/Ift22/Sirt2/Slc12a5/Gabarap/Cacng4/Vamp2/Akap5/Mylk/Nrxn1/Nptx1/Myo5b/Tsc1/Nacc2/Epb41l1/Tnik/Lmna/Kif17/Hpca/Nsg1/Tspan9/Myo6/Hip1/Lrp1/Dnm3/Iqsec2/Dzip1/Reln/Gsg1l/Vwc2/Adam10/Tspan7/Akap6/Erbb2/Nlgn1/Nrxn3/Kif5a	37
b	b	GO:0000768	syncytium formation by plasma membrane fusion	15/2026	70/28928	0.214285714285714	3.05965308137075	4.7346634682887	8.30019998560917e-05	0.000579067879418056	0.000322338857959056	Adamts5/Stat1/Camk1/Il4ra/Neo1/Adamts15/Ripor2/Cd81/Cdon/Tcta/Sh3pxd2a/Flot1/Cxcl12/Ehd2/Ntn3	15
b	b	GO:0140253	cell-cell fusion	15/2026	70/28928	0.214285714285714	3.05965308137075	4.7346634682887	8.30019998560917e-05	0.000579067879418056	0.000322338857959056	Adamts5/Stat1/Camk1/Il4ra/Neo1/Adamts15/Ripor2/Cd81/Cdon/Tcta/Sh3pxd2a/Flot1/Cxcl12/Ehd2/Ntn3	15
b	b	GO:1900180	regulation of protein localization to nucleus	26/2026	165/28928	0.157575757575758	2.24992671034132	4.41863943746111	8.3890512935354e-05	0.000583903364548896	0.000325030536793529	Cav2/Akt1/Cd36/Glis2/Cacnb4/Hnf4a/Akap5/Lats2/Fbxo4/Hcls1/App/Dclk1/Lmna/Tesk1/Jak1/Tnfrsf1a/Ptpn5/Flna/Pik3r2/Lzts2/Atp13a2/Ormdl3/Pik3r1/Gper1/Epm2a/Agtr2	26
b	b	GO:0034103	regulation of tissue remodeling	17/2026	86/28928	0.197674418604651	2.82247067196217	4.64489842956683	8.41402705848959e-05	0.000583903364548896	0.000325030536793529	Abr/Egfr/Cartpt/Ltbp3/Gpr137/Ddr2/Slc4a2/Ubash3b/Inpp4b/Lrp1/Dlk1/Tmem64/Mc4r/Prkca/Tmem119/Tnfrsf11b/Grem1	17
b	b	GO:0051149	positive regulation of muscle cell differentiation	17/2026	86/28928	0.197674418604651	2.82247067196217	4.64489842956683	8.41402705848959e-05	0.000583903364548896	0.000325030536793529	Mmp14/Ccn4/Igf1/Myocd/Nr3c1/Efemp2/Notch2/Bmp10/Camk1/Atp11a/Slc25a4/Mamstr/Tmsb4x/Trim32/Gper1/Bcl2/Akap6	17
b	b	GO:0055021	regulation of cardiac muscle tissue growth	17/2026	86/28928	0.197674418604651	2.82247067196217	4.64489842956683	8.41402705848959e-05	0.000583903364548896	0.000325030536793529	Ccn4/Igf1/Zfpm2/Col14a1/Ppara/Nr3c1/Rbp4/Gli1/Rgs2/Tgfbr3/Bmp10/Vgll4/Fgfr1/Slc25a4/Tgfbr2/Fgf2/Akap6	17
b	b	GO:0008542	visual learning	16/2026	78/28928	0.205128205128205	2.92889867618397	4.68126192929192	8.48988636860475e-05	0.000584903138693397	0.000325587062319136	Nts/App/Chrnb2/B4galt2/Nlgn3/Ndrg4/Pln/Synpo/Tafa2/B3gat1/Cacna1c/Zzef1/Deaf1/Rag1/Ppp1r1b/Syngap1	16
b	b	GO:0045601	regulation of endothelial cell differentiation	11/2026	41/28928	0.268292682926829	3.8307851587894	4.97767745681578	8.57957171693346e-05	0.000589573109555093	0.00032818660742907	Acvrl1/Add1/Tnfrsf1a/Cdh5/Vhl/Atoh8/Cldn5/S1pr2/Plcb1/Gdf2/Apold1	11
b	b	GO:1990845	adaptive thermogenesis	27/2026	175/28928	0.154285714285714	2.20295021858694	4.38030379254292	8.95179150322655e-05	0.000610918706831436	0.000340068660799782	Cd36/Cav1/Dio2/G0s2/Phox2b/Lama4/Appl2/Ebf2/Adamts5/Ache/Lipa/Acadl/Mfn2/Plac8/Il4ra/Slc25a4/Ip6k1/Flcn/Sfxn5/Plcl1/Mc4r/Slc25a44/Aldh1a1/Per2/Thra/Mfap2/Fabp4	27
b	b	GO:1901617	organic hydroxy compound biosynthetic process	35/2026	253/28928	0.138339920948617	1.97527010523276	4.27575284636855	9.06122659660431e-05	0.000617678802707815	0.000343831676608353	Fgfr4/Prkaca/Dhdds/Moxd1/Plek/Ddc/Apob/Pcbd2/Dab2/Cacna1h/Lipa/Asah2/Ntsr1/Hmgcs2/Adcyap1r1/Dkk3/Erlin2/Star/Apoa1/Abcg4/Ip6k1/Fgf1/Wnt4/Itpkb/Cyp7b1/Gpr37/Cftr/Inhba/Sptssb/Prkg1/Gper1/Per2/Cyp2d22/Sphk1/Agtr2	35
b	b	GO:0031400	negative regulation of protein modification process	51/2026	420/28928	0.121428571428571	1.73380341277676	4.15719246560569	9.16671022546128e-05	0.000624154377021969	0.000347436313134128	Akt1/Cdkn1b/Cav1/Lrrk1/Sirt2/Hnf4a/Igf1/Myocd/Spag9/Caml/Tppp/Sh3bp5/Lats2/Gfra2/Rela/Ctdsp1/Dnajb2/Rgs2/Rassf2/Zgpat/Sfrp2/Pias3/Tesk1/Plpp3/Cdkn2c/Svbp/Ephb2/Ptpro/Slit2/Ubash3b/Flcn/Tbc1d24/Fxyd1/Smpd1/Socs5/Enpp1/Cdkn1c/Ncoa7/Aida/Fem1a/Ppm1e/Ntf3/Prkca/Socs3/Slc8a1/Epm2a/Per2/Fabp4/Heg1/Ctdsp2/Prnp	51
