Genes	baseMean	log2FoldChange	pvalue	padj	Cluster	is.TF	Phenotype
0610010K14Rik	911.425413277368	-0.654655797944855	0.00206609936019202	0.00285520184931624	e	-	-
0610030E20Rik	558.639334216729	0.743403124666956	2.75015660076494e-14	6.83574584530041e-14	a	-	-
0610040J01Rik	26.5696036400366	3.09874936930001	0.000145500179170055	0.000218150383048558	c	-	-
1110002E22Rik	5.92682698921045	4.88507837926513	0.000878915111426388	0.00125068452134169	a	-	-
1110032F04Rik	95.2709838062442	-1.85948484781812	5.12300349803143e-34	2.4393836423766e-33	d	-	-
1110059E24Rik	707.7193624887	-0.681602387227638	0.000820153006869607	0.00116879295741466	e	-	-
1110065P20Rik	394.962611450686	0.910242786682054	1.13299611191828e-05	1.82590282499226e-05	b	-	-
1190005I06Rik	101.906841890157	-2.22060704406755	9.22994732950142e-39	4.98471932928564e-38	e	-	-
1500009L16Rik	252.219143831432	-1.22780990833712	6.60783312652208e-10	1.35244666515596e-09	f	-	-
1600012H06Rik	497.687065321162	1.44454508374623	1.80462912043652e-21	5.83840114413394e-21	b	-	-
1600014C10Rik	181.518738681194	0.549061201629576	0.00173301345698743	0.00240545381115618	a	-	-
1700001O22Rik	22.3464403038273	-3.33724947836011	7.43224702718756e-08	1.36205198372491e-07	f	-	-
1700003F12Rik	7.03260384879894	-3.84185143500099	6.60865030840896e-05	0.000101528505019451	d	-	-
1700008O03Rik	14.8106771515527	-4.96846008523734	0.000569401852825866	0.000820587924449032	f	-	-
1700013H16Rik	617.812122420786	-3.49805331949562	4.25858280675836e-46	2.72909179869726e-45	d	-	-
1700017B05Rik	3689.17082027886	1.62355362412446	3.9102968133848e-60	3.39611144237768e-59	a	-	-
1700019A02Rik	17.6761231605626	-6.44784753822109	1.87909742598619e-10	3.95288109999286e-10	e	-	-
1700019D03Rik	175.789944069472	-4.37203607975606	2.17875223297183e-54	1.66766175589152e-53	e	-	-
1700020N01Rik	6.15417616401138	-4.64729652013043	0.000122615879970511	0.000184922945761621	e	-	-
1700025G04Rik	942.46000873535	2.02046526380811	9.52984252074424e-51	6.76338043716597e-50	a	-	-
1700037C18Rik	46.2117392009135	3.45319412026216	1.30549801554887e-10	2.76458403292701e-10	c	-	-
1700088E04Rik	67.1456730640034	2.8612644217565	3.18925661782378e-11	6.93482323111025e-11	b	-	-
