"","ESC_Rep1","ESC_Rep2","Epi_Rep1","Epi_Rep2","Meso_Rep2","OSC-D7_Rep1","OSC-D7_Rep2","OSC-D8_Rep1","OSC-D8_Rep2","OSC-D9_Rep1","OSC-D9_Rep2","OSC-D10_Rep1","OSC-D10_Rep2"
"Gnai3",48.03,57.48,75.61,93.78,83.5,135.3,117.76,124.67,134.67,149.14,133.12,133.27,124.4
"Cdc45",47.73,55.63,36.16,37.45,26,31.99,36.01,20.81,23.4,26.61,23.35,23.79,22.93
"H19",14.76,3.97,6.97,4.89,2483.09,4726.51,4318.86,6772.55,6023.34,7514.02,6664.31,8833.34,7418.34
"Scml2",2.24,6.65,2.62,5.73,2.68,3.39,4.63,4.58,4.97,9.03,3.96,5.99,3.93
"Apoh",0.27,0.67,0,0,0,0.14,0.2,0,0,0.19,0.12,0.29,0.11
"Narf",7.21,11.96,12.31,10.87,6.01,20.89,19.32,20.23,20.19,19.58,16.92,18.94,18.12
"Cav2",0,0,0.1,0.16,0.94,0.97,1.72,5.05,3.3,6.01,5.08,5.75,8.27
"Klf6",15.18,25.85,26.53,37.16,31.18,13.76,15.52,20.1,17.19,37.32,40.45,47.58,40.7
"Scmh1",30.48,48.25,17.89,22.58,43.06,55.11,36.51,22.03,20.72,34.1,22.24,38.02,31.03
"Cox5a",1150.38,990.11,435.28,495.36,324.62,281.89,239.05,185.18,210.13,248.39,165.95,219.47,235.88
"Tbx2",0.52,1.25,0.15,0.07,5.79,99.57,52.4,66.13,50.26,82.85,74.7,108.68,106.39
"Tbx4",0.51,1.08,1.26,0.85,0.94,0.76,3.25,0.02,0.65,0.02,0.1,0.08,0.28
"Ngfr",27.07,38.2,1.27,1.81,20.62,7.53,4.07,12.24,16.31,20.78,33.87,53.19,56.88
"Wnt3",0.27,0.18,5.19,4.12,7.1,0.03,0.1,0.09,0.03,0.02,0.15,0.4,0.08
"Wnt9a",0.44,0.35,1.07,0.61,1.99,0.7,1.54,1.36,2.05,2.36,4.31,3.49,4.03
"Fer",13.33,15.33,9.04,12.83,9.83,16.62,17.79,18.34,21.95,24.43,20.83,20.23,20.34
"Xpo6",95.67,132.16,94.03,86.26,98.67,80.94,59.13,61.84,64.18,70.31,58.23,78.56,96.53
"Tfe3",54.61,93.82,75.13,88.02,39.61,39.31,26.88,42.89,32.56,39.17,39.92,47.89,42.81
"Axin2",20.51,21.95,8.15,6.19,398.75,15.05,16.3,15.12,16.92,11.2,17,15.12,12.13
"Brat1",5.92,11.37,8.67,6.74,7.79,11.61,8.49,11.69,9.39,13.45,9.11,15.87,14.13
"Gna12",15.36,31.19,31.23,31.11,22.39,66.65,48.56,49.41,49.75,68.2,58.3,87.42,85.33
"Slc22a18",2.49,1.71,1.24,0.78,1.05,0.3,0.06,0.28,1.2,0.93,0.36,0.69,1.14
"Itgb2l",0,0,0,0,0,0,0,0,0,0,0.02,0,0
"Igsf5",0.1,0,0.07,0.18,0,1.26,0.87,0.44,0.07,0.76,0.22,0.58,1.29
"Pih1d2",0.55,1.61,2.24,1.77,2.04,3.46,3.04,2.21,1.91,1.8,0.95,0.81,1.05
"Dlat",65.48,60.66,65.61,66.75,52,38.5,30.48,31.51,31.58,41.04,31.38,43.66,28.1
"Sdhd",204.58,200.66,159.43,182.21,154.37,133.79,127.94,109.57,120.13,125.41,108.44,125.93,137.79
"Fgf23",0.04,0.15,0.13,0,0,0.04,0,0,0,0,0,0,0
"Fgf6",0,0,0,0.01,0,0,0,0,0,0,0,0,0
"Ccnd2",0.94,1.26,8.48,9.43,102.41,131.14,125.68,68.22,106.92,85.31,81.97,132.66,100.54
"Gpr107",27.81,48.27,29.14,30.74,27.01,30.14,27.61,37.75,33.92,43.58,47.59,42.65,39.34
"Nalcn",0.09,0.27,0.24,0.19,0,0.53,0.09,0.34,0.03,0.54,0.3,0.63,0.49
"Btbd17",0,0.12,10.69,8.96,0.54,0.35,0.14,0.28,0.75,0.3,0.34,0.55,1.14
"Slfn4",0,0.02,0.03,0,0,0,0,0,0,0,0,0,0
"Th",0,0.54,0.2,0.64,0,1.95,0.45,0.37,0.64,0.22,0.34,0,1.22
"Scnn1g",0,0,0,0,0,0.08,0,0,0,0,0.09,0,0
"Drp2",0.15,0.52,0.11,0.16,0.26,1.57,0.95,2.37,2.49,4.86,4.84,6.52,6.32
"Tspan32",0.17,0.63,0.7,0.51,0,0.6,0.02,0.65,0.45,0.73,0.63,0.17,0.33
"Lhx2",1.74,4.66,1.38,0.7,1.42,2.7,3.54,2.56,8.47,6.44,12.21,10.62,19.32
"Clec2g",0,0.06,0,0,0,0,0,0,0,0,0.15,0,0
"Gmpr",4.85,3.03,7.32,5.93,7.88,5.97,5.21,7.42,10.6,13.7,15.77,17.76,23.99
"Glra1",0,0,0,0,1.09,0.04,0,0,0,0.08,0.3,0.31,0
"Mid2",0.1,0.11,0.12,0.2,3.99,2.94,1.89,2.96,2.68,5.48,4.22,7.07,6.14
"Trim25",38.32,67.21,44.49,35.8,23.31,16.62,11.24,13.65,12.13,18.9,18.2,30.27,18.13
"Dgke",6.15,8.19,3.98,3.8,1.95,4.23,2.2,3.25,2.06,4,2.6,4.39,2.45
"Scpep1",198.97,185.18,71.54,64.46,97.45,91.07,61.64,75.98,68.45,104.27,73.73,110.83,94.29
"Mnt",30.94,39.81,27.8,15.8,15.19,69.77,31.09,35.22,26.51,31.55,28.1,38.02,37.53
"Itgb2",0.14,0.28,0.32,0.24,0.28,0.29,0,0.03,0.13,0,0.13,0.03,0.32
"Hddc2",55.72,43.66,55.36,49.24,112.11,55.91,53.11,46.18,53.53,56.02,42.15,43.33,45.32
"Tpd52l1",28.85,24.64,17.76,20.29,53.84,54.91,84.16,27.35,56.64,25.93,26.79,18.49,24.85
"Pemt",11.22,8.21,16.08,12.54,9.92,9.33,8.43,7.34,4.6,9.57,5.09,13.47,8.03
"Cdh1",204.98,159.96,338.35,312.55,24.2,2.04,1.03,1.27,1.78,3.75,2.3,12.42,5.76
"Cdh4",2.53,7.5,5.03,5.35,8.98,1.19,0.69,0.54,0.76,0.96,1.06,1.74,1.16
"Ckmt1",16.13,18.47,6.92,5.51,1.96,0.26,0.09,1.77,0.57,1.41,1,2.97,4.93
"Bcl6b",0.41,0.42,3.2,2.08,0.17,2.01,5.17,5.55,8.26,10.45,11.34,9.07,10.82
"Clec10a",0.33,0.29,0.38,0.69,0,0.13,0,0.12,0,0,0,0,0.38
"Alox12",5.81,6.23,2.08,1.37,0.16,0.18,0.26,0.22,0.28,0.17,0.4,0.18,0.26
"Comt",20.11,23.95,13.58,12.76,33.15,21.15,14.88,18.99,15.93,23.93,18.91,31.98,34.05
"Rtca",47.86,59.55,62.53,55.56,52.72,57.27,51.28,44.99,48.13,49.21,34.77,47.93,49.85
"Dbt",14.44,17.02,20.9,20.62,17.8,10.17,14.18,18.28,12.28,16.67,12.87,10.96,9.19
"Dazap2",59.8,61.32,54.33,51.05,66.43,135.68,102.7,101.69,109.82,104.48,81.16,106.97,88.62
"Mcts1",40.11,48.99,54.03,73.32,50.86,38.85,28.23,41.56,42.47,49.96,35.74,36.22,47.84
"Rem1",0,0,1.16,0.2,0.06,2.84,0.78,0.72,0.77,2.04,0.84,3.17,5.2
"Rnf17",45.65,53.55,28.17,50.91,3.3,1.13,1.38,1.72,2.08,0.77,1.3,1.25,1.58
"Trappc10",4,9.53,11.64,9.45,6.86,21.34,14.31,19.04,16.12,24.15,16.83,24.99,20.04
"Ccm2",29.69,30.25,60.23,43.22,48.93,75.56,58.5,55.27,51.84,77.77,56.14,86.06,88.01
"Tbrg4",119.92,146.45,175.31,112.76,57.58,70.96,30.93,33.02,26.42,39.93,22.55,58.22,40.71
"Tmprss2",0,0.17,0.84,0.18,1.52,0.43,0.44,0.28,0.72,2.11,0.47,4.52,1.59
"Fap",0,0,0,0,0,0.04,0.05,0.21,0.73,1.13,1.45,2.45,3.55
"Gcg",0,0,0,0,0,0,0,0.13,0,0.35,0,0.08,0
"Ndufa9",141.13,120.47,99.38,120.85,75.78,101.64,85.81,104.14,105.65,104.91,93.39,98.76,92.34
"Egfl6",6.68,8.16,2.78,3.5,0.3,2.38,1.67,2.95,4.84,6.25,8.94,7.89,11.36
"Lck",32.06,19.19,14.92,15.41,12.66,10.73,9.67,6.95,6.49,5.54,8.11,6.54,9.9
"Tssk3",0,0,0.15,0.13,0,0,0,0,0,0,0,0,0
"Cttnbp2",0.69,1.62,0.46,0.2,1.84,5.1,3.53,4.92,8.28,7.56,6.88,5.31,5.4
"Galnt1",30.49,37.89,17.02,21.54,50.41,63.23,59.19,64.74,77.79,89.84,71.88,78.99,72.51
"Myf5",0,0,0.06,0.13,0,0.04,0,0,0,0,0,0,0
"Mkrn2",32.92,30.54,35.81,26.35,24.42,29.92,18,21.46,26.84,31.06,22.13,32.11,34.45
"Pparg",0,0,0.03,0.19,0.05,9.05,2.52,3.79,1.24,2.43,0.83,3.2,1.61
"Raf1",61.8,82.9,63.94,65.12,43.37,92.9,71.22,72.93,78.33,92.87,63.99,89.36,90.22
"Septin1",237.08,262.3,23.93,33.86,1.44,9.6,8.09,3.69,3.35,7.45,3.64,4.82,2.84
"Pdgfb",0.75,1.24,1.07,0.91,0.28,0.55,1.4,1.44,1.87,3.59,3.6,3.04,5.09
"Acvrl1",0.09,0.1,0.17,0.68,1.55,1.8,3.43,3.54,5.23,4.44,4.02,4.71,6.07
"Tamalin",10.23,17.3,5.29,4.41,10.63,3.17,4.57,8.23,10.79,8.98,11.74,10.24,14.79
"Acvr1b",7,9.45,10.07,8.82,18.04,16.35,17.08,15.56,15.84,14.62,12.31,16.62,13.41
"Tom1l2",3.09,6.55,5.05,3.36,3.67,20.02,12.18,25.07,21.57,31.49,22.52,34.48,28.67
"Gpa33",59.61,77.35,10.51,19.26,0.58,0.49,0.6,0.07,0.09,0.52,0.21,2.17,0.6
"Zfp385a",24.97,32.25,25.9,21.63,45.28,81.33,58.98,32.39,41.39,34.61,30.63,45.85,51.21
"Itga5",6.19,9.22,12.39,12.49,18.08,24.83,27.65,25.18,32.24,40.39,35.83,51.71,59.82
"Gabra2",0,0,0.05,0.05,0,0,0,0.15,0.11,0.43,0.23,0.44,0.13
"Wdr77",97.56,137.25,170.33,146.34,83.49,74.81,51.52,43.78,46.58,51.51,41.51,65.07,65.06
"Atp5pb",303.01,280.7,300.22,355.43,296.49,321.45,302.17,346.22,357.27,348.41,301.19,280.99,278.75
"Sox9",0.07,0.03,0.57,0.31,1.9,64.42,23.72,45.54,29.36,36.69,25.72,34.75,24.95
"Hnrnpd",577.82,450.23,464.75,650.79,647.92,702.65,1002.4,804.9,1037.31,630.16,713.85,440.03,451.29
"Dynlt1c",1.9,1.73,1.55,3.23,3.84,3.6,6.55,4.78,12.9,3.23,3.63,1.92,1.06
"C1d",72.03,65.25,96.9,73.94,66.08,184.35,138.38,245.74,221.25,283.55,201.41,211.8,242.31
"Gm2a",17.49,24.44,9.3,7.41,2.93,11.86,7.54,12.42,10.35,18.01,14.69,18.52,18.73
"Krit1",7.89,10.89,10.6,8.81,15.53,17.09,15.03,18.39,17.95,21.38,15.92,18.63,16.7
"Clcn4",2.79,3.89,3.55,4.13,9.57,28.23,21,30.36,25.18,34.79,29.61,37.7,36.1
"Vmn2r88",0,0,0,0,0,0,0,0,0,0.08,0,0,0
"Grm6",0.02,0,1.63,1.39,0.12,0,0,0,0,0.05,0,0,0
"Sema4f",2.36,4.39,1.15,0.91,0.63,0.26,0.19,0.39,0.58,0.63,0.66,1.61,1.31
"Hk2",119.53,150.53,79.43,84.31,75.11,12.36,18.23,9.5,10.18,10.14,8.54,10.87,9.84
"Myo18a",12.34,11.65,9.33,5.18,12.72,22.76,13.16,28.89,20.39,30.35,20.15,27.53,22.24
"Sez6",0.33,1.06,4.3,1.65,0,1.46,0.02,4.62,1.11,6.09,1.55,6.22,2.18
"Haao",0.33,0,0.09,0,0.13,0.08,0,0.23,0,0.05,0.21,0.35,0.57
"Cd52",0.18,0,0,0,0.39,0,0,1.06,1.25,1.03,2.24,2,0.86
"Abhd15",0.23,0.49,0.31,0.2,0.34,0.29,0.19,0.44,0.17,0.6,0.22,0.99,0.5
"Hoxb6",0.12,0.05,0,0,127.23,37.69,10.1,14.16,8.05,14.22,7.77,14.21,9.87
"Loxl3",0.07,0.34,0.77,1.61,0.45,8.72,8.95,18.4,16.98,16.41,14.45,15.98,15.21
"Btn1a1",0.02,0.18,0.17,0.05,0.35,0.31,0.28,0.02,0.62,0.08,0.19,0.33,0.28
"Kat2b",25.78,44.34,18.8,22.47,4.96,5.84,3.67,8.11,5.55,7.43,5.63,6.54,5.96
"Rab5b",29.84,37.81,19.59,17.82,37.92,78.36,64.37,82.78,81.52,96.92,77.93,90.86,92.86
"Cryba1",0,0,0.09,0.07,0,0,0,0,0,0,0,0,0
"Dnmt3l",20.88,20.78,253.61,433.89,5.24,1.01,0.23,1.36,0.57,3.45,0.98,5.38,1.35
"Aire",1.99,2.17,8.07,9.15,0,0,0,0,0.58,0,0,0.07,0.1
"Icosl",1.94,2.38,6.56,4.64,1.53,1.28,1.18,1.21,0.6,2.1,1.93,2.72,2.92
"Spg7",27.65,31.96,34.18,36.27,40.8,55.85,35.11,45.55,42.64,54.31,42.47,58.4,40.42
"Sult5a1",0.26,0.14,1.83,1.09,0.8,4.76,4,8.25,3.2,11.16,7.27,13.62,9.47
"Rpl13",2423.06,1727.24,2233.65,2181.26,2155.09,1876.87,1403.48,997.88,1220.24,1193.49,1050.61,903.13,1294.09
"Chmp1a",80.58,65.06,71.9,64.29,40.52,70.48,48.66,65.21,56.05,86.85,68.65,95.28,106.65
"Rpa1",205.26,261.32,225.07,178.78,103.14,160.56,108.32,126.55,114.69,179.93,128.58,177.03,164.43
"Serpinf1",3.41,3.25,59.1,20.41,15.78,174.88,149.7,101.01,115.39,94.52,131.12,97.17,158.06
"Tubgcp3",12.22,14.68,17.11,14.91,14.6,41.62,26.84,31.46,24.7,36.5,23.43,37.65,27.89
"Oprm1",0,0,0.06,0.33,0,0,0,0,0,0,0.58,1.57,0.19
"Polr3d",19.91,23.69,35.69,33.36,38.9,19.75,22.52,19.43,25.2,22.64,21.42,20.64,26.52
"Tcf7",39.77,52.82,95.54,63.8,198.77,20.41,18.39,8.59,12.01,9.73,10.44,11.97,11.9
"Ddx3x",177.16,269.25,359.36,398.54,331.54,285.53,337.58,278.49,312.25,272.12,284.15,265,177.59
"Il12rb1",0.7,0.27,1.34,0.99,0.37,0.08,0.05,0.22,0,0,0.02,0.09,0
"Slc5a5",0.73,0.35,10.98,8.59,0.03,0.19,0.08,0.12,0.11,0.2,0.11,0.31,0.16
"Kcnn3",0.07,0.03,0.12,0.08,0.03,2.55,2.9,10.31,5.89,7.87,7.45,6.3,6.14
"Usp32",9.87,15.91,13.08,11.3,13.38,22.29,17.73,21.67,21.31,25.32,19.08,24.26,15.05
"Car4",0.26,0,368.09,326.17,7.91,0.24,0.32,0.47,1.05,1.72,1.71,3.27,3.63
"Txnrd3",8.78,9.13,8.33,9.46,7.15,10.68,9.07,9.45,8.49,9.64,7.22,8.98,8
"Fasl",0,0,0.03,0,3.39,0,0,0,0.11,0,0,0.04,0
"Zfp512b",2.87,5.49,15.35,10.16,5.71,59.41,35.86,34.29,41.56,51.46,55.46,60.46,57.29
"Dnajc5",28.38,43.97,45.18,39.43,58.75,73.95,56.43,66.17,71.02,83.72,74.17,86.82,81.3
"Tpd52l2",86.77,91.6,113.8,97.51,93.53,85.53,96.59,89.94,113.59,112.5,91.02,77.95,90.45
"Fmr1",20.61,35.25,21.93,27.69,30.02,36.41,30.08,29.35,34.55,38.05,37.01,38.58,32.71
"Bcl11a",1.61,1.15,16.82,11.45,2.33,51.47,42.7,52.97,55.18,54.82,42.68,45.48,39.5
"Il4",0,0,0,0,1.79,0,0,0,0,0,0,0,0
"Pxmp4",7.09,10.44,5.49,5.38,4,21.17,12.66,25.82,21.81,26.61,19.98,26.89,22.47
"Dlg3",14.85,13.02,16.58,14.6,9.5,36.27,31.22,18.86,22.35,23.68,17.38,19.22,16.98
"Gnb1l",17.3,19.46,14.62,14.25,10.08,5.36,5.48,5.42,8.32,7.6,6.38,10.71,7.87
"Dbh",0,0,0,0,0,1.25,0.32,0.72,1.23,0.77,0.7,0.55,0.71
"Mmp11",21.51,27.07,14.89,11.3,2.78,89.82,63.28,100.75,109.69,125.75,126.46,119.67,144.31
"Smarcb1",109.28,121.66,119.65,108.21,95.72,164.9,121.43,143.38,156.33,160.17,121.74,145.18,154.15
"Vpreb3",0.42,0.74,0.33,0.19,0,0,0,0,0,0,0,0,0.45
"Hip1r",7.16,9.4,8.5,4.57,2.83,5.03,4.27,1.83,2.13,3.2,2.83,6.76,7.35
"Nsun5",13.25,16.79,24.7,21.98,11.65,10.95,7.33,6.21,6.81,8.03,4.72,8.99,8.69
"Top1mt",3.03,2.67,8.13,7.4,29.98,2.64,2.81,4.1,6.74,7.39,6.37,8.43,7.03
"Hoxa10",0.82,2.9,0.06,0,9.39,9.95,26.65,5.01,19.05,5.13,11.21,7,15.67
"Hoxa4",0.1,0.66,0,0.13,3.1,44.95,24.62,15.75,17.97,23.98,18.8,30.33,27.73
"Mmp14",2.45,2.44,9.49,9.94,20.05,134.36,138.54,209.84,226.24,291.06,279.82,443.69,424.15
"Slc7a7",16.53,13.99,176.71,208.73,17.85,9.75,8.88,4.06,6.21,4.72,4.34,7.14,6.44
"Oxa1l",88.13,88.18,77.29,58.24,75.5,105.99,64.82,79.35,69.12,101.07,65.33,101.57,95.67
"Heatr6",10.3,13.69,16.96,13.68,7.74,21.34,12.12,16.69,12.95,20.11,14.12,23.04,17.44
"Ccl3",0,0,0.35,0,0,0,0,0.22,0,0,0.1,0,3.35
"Wfdc18",0,0,0,0,0,0,0,0.17,0.49,0.68,0.31,2.36,0.28
"Icam4",1.41,0.99,1.88,2.69,0.45,0,0,0.25,0,0,0,0,0
"Ilf2",139.15,164.45,131.91,127.94,138.81,198.61,192.68,153.42,195.01,194.38,148.15,153.75,158.18
"Chtop",129.33,151.5,133.17,132.55,115.54,168.18,148.22,148.99,164.83,162.39,144.61,157,159
"Snapin",25.46,26.01,29.95,24.21,16.71,38.94,20.95,42.64,35.61,47.28,33.19,40.11,40.78
"S100a4",0,0,0,0,1.61,0.19,0,4.05,4.42,6.88,2.33,2.53,3.28
"S100a3",0,0,0,0.25,13.26,0,0,0,0.76,0.12,0,0,0
"S100a5",0,0,0,0,0,0,0,0,0,0.22,0,0,0
"S100a6",8.27,10.49,6.64,12.56,84.14,2.23,1.12,11.84,14,22.41,25.46,39.69,39.4
"Scn4a",0.02,0,0.19,0.03,0.08,0.1,0.04,0.02,0,0.24,0.04,0.06,0.02
"Icam2",0.78,1.03,0,0.37,0,2.03,6.49,5.47,10.85,14.7,12.25,7.51,15.21
"Mapk7",27.42,31.04,40.87,25.86,33.6,89.27,64.17,82.41,76.91,87.12,73.86,101.72,98.61
"Epn2",41.22,48.62,36.25,28.33,18.62,28.54,22.16,27.24,23.58,34.07,24.44,34.29,32.63
"B9d1",25.39,20.49,70.45,67.66,24.37,45,31.31,48.85,33.02,57.29,37,49.39,51.92
"Sec24b",18.1,24.44,26.44,23.27,38.46,65.06,48.2,48.51,60.02,54.88,52.21,52.98,68.39
"N4bp3",50.55,47.6,18.07,13.19,2.59,4.31,8.88,4.79,9.99,9.82,10.05,7.05,13.42
"Rmnd5b",37.61,54.31,18.3,12.89,10.67,30.79,11.7,26.57,23.47,48.65,26.57,43.91,38.98
"Nhp2",483.53,370.7,588.85,483.69,163.13,109.77,80.66,74.02,72.31,100.56,74.87,105.94,101.33
"Vps9d1",4.67,4.07,5.75,2.21,4.96,16.49,10.15,16.35,12.84,20.06,13.09,25.97,20.31
"Zfp276",3.69,2.96,3.75,1.76,2.44,6.45,4.12,7.01,6.61,8.69,7.22,10.42,8.57
"C1ql4",0.21,0.14,0.5,0.22,0,0.16,0,0.05,0.15,0.15,0,0.17,0.08
"Mfsd10",47.16,68.78,50.15,49.08,30.32,42.54,24.42,27.47,32.19,38.23,37.42,56.17,62.99
"Luzp1",10.6,13.84,20.9,16.34,20.16,20.2,24.25,21.62,25.02,22.41,22.42,19.87,17.02
"Slc13a2",0.35,0.97,0,0,0,0.03,0,0,0,0,0,0,0
"Kctd10",20.8,21.68,25.63,25.08,46.88,68.05,50.09,69.04,61.49,85.91,68.57,105.45,90.57
"Poldip2",112.77,114.07,115.12,83.55,105.29,126,93.37,119.6,105.18,139.77,112.73,153.73,137.53
"Sebox",0,0,0,0,0,0,0,0.06,0,0.17,0,0,0
"Ift20",40.22,32,36.06,32.84,32.22,63.8,45.35,69.32,57.2,74.04,64.17,70.75,70.76
"Col6a1",0.22,0.13,0.29,0.4,1.78,6.63,14.79,45.56,84.52,146.14,251.95,338.25,403.22
"Pcbp3",11.52,11.17,18.85,13.27,17.99,42.51,27.92,42.32,26.68,42.29,28.27,41.52,44.08
"Lgals9",2.48,1.67,1.53,2.43,0.4,1.21,0.3,1.35,1.2,4.7,3.49,17.72,11.99
"Araf",23.91,35.07,36.22,33.14,30.36,40.57,29.8,36.74,34.93,44.22,29.48,48.98,42.71
"Cfp",23.1,30.99,0.63,0.56,1.14,0.97,0.74,0.89,0.46,1.25,0.46,1.31,3.17
"Timp1",92.81,98.05,14.56,19.19,6.98,37.78,28.68,33.6,31.61,42.08,30.11,48.91,37.96
"Uxt",58.81,47.48,51.76,78.19,41.14,36.21,31.92,35.84,38.34,30.43,29.26,29.11,25.77
"Cnnm3",6.66,11.62,18.48,15.79,12.11,18.17,12.22,11.11,10.31,14.61,10.78,21.43,19.79
"Lman2l",9.57,12.3,12.89,11.35,16.46,36.22,24.2,30.82,33.22,35.7,28.33,31.8,31.22
"Mcm3ap",160.32,137.27,93.73,121.42,39.96,41.93,38.5,36.09,45.5,40.34,38.94,39.48,33.17
"Pcnt",22.95,33.84,27.16,21.94,16.73,23.99,27.47,21.45,24.43,18.68,16.73,21.53,17.93
"Ftcd",0,0,0.09,0.03,0,0,0,0,0,0,0,0,0
"Mxd1",2.18,1.42,1.95,1,1.57,6.79,6.88,10.52,9.46,9,9.55,7.82,8.31
"Gmcl1",19.15,21.79,17.64,19.84,9.86,21.81,17.86,21.63,21.86,23.54,21.25,22.53,22.22
"Snrnp27",89.69,73.06,75.1,87.07,77.02,85.9,94.22,107.21,120.77,105.68,88.6,81.07,79.5
"Oas1c",3.93,2.94,2.07,2.9,0.25,0.55,0.29,0.52,0.14,0.45,0.32,0.8,0.42
"Ocrl",8.51,17.2,6.78,7.88,10.68,15.88,11.05,14.81,13.52,18.26,14.75,17.62,15.63
"Calm1",221.58,266.54,353.6,426.37,171.48,234.11,196.31,186.93,266.21,331.06,296.73,373.75,465.49
"Agpat3",33.28,50.49,40.44,54.36,20.37,41.42,25.41,37.8,32.91,48.11,42.92,67.14,55.75
"Slc26a3",0,0,0.07,0,0.22,0,0,0,0,0,0,0,0
"Sema6b",1.62,1.84,2.95,1.98,1.01,0.97,0.91,0.85,1.18,2.2,2.13,3.2,3.03
"Uhrf1",183.96,260.67,161.03,196.82,140.24,99.94,130.18,65.66,105.89,81.32,86.81,80.51,76.18
"Dpp9",14.99,23.59,32.7,27,22.26,28.25,18.36,18.34,19.18,23.5,19.45,27.91,29.73
"Ramp2",4.6,2.79,7.88,5.11,2.16,23.74,26.98,53.15,56.23,106.91,68.26,118.45,142.31
"Lsr",5.42,2.31,88.53,68.9,63.35,29.76,18.01,8.12,10.57,10.84,9.68,26.8,16.5
"Gramd1a",14.41,26.53,17.39,9.55,21.79,39.55,25.49,24.99,24.46,30.27,19.81,33.27,32.63
"Hpn",0,0.11,9.91,5.64,2.22,0.31,1.07,0.3,0.91,1.16,0.44,1.57,0.86
"Gabrg1",0,0,0.06,0,0.02,0.02,0,0.04,0,0.1,0,0.09,0.06
"Ckb",1132.03,1152.23,49.74,45.11,11.54,10.19,3.15,10.01,5.67,13.57,9.76,37.6,28.69
"Sp1",26.63,55.06,50.75,44.79,39.31,45.04,43.54,38.2,40.48,47.5,42.47,49.34,46.74
"Itgb7",9.85,5.99,2.71,1.73,0.74,0.44,0.29,0.08,0.62,0.03,0.23,0.44,0.04
"Myg1",58.17,55.65,55.87,52.51,47.72,94.51,67.9,65.82,63.58,84.78,66.17,97.05,87.05
"Rarg",21.57,24.8,93.73,70.29,51.55,20.12,20.84,23.4,20.35,35.29,27.13,46.92,39.62
"Pfdn5",258.38,190.32,232.72,216.61,396.33,466.36,516.06,608.35,700.26,636.86,598.75,483.63,625.05
"Efnb2",1.59,1.39,26.66,30.97,7.25,181.76,91.71,144.08,111.66,119.14,82.46,82.24,66.38
"Rrp15",95.76,74.02,94.02,104.04,95.13,43.04,47.5,39,47.37,43.1,32.56,38.85,28.94
"Rnd2",30.7,20.52,32.72,23.96,6.03,15.9,15.76,15.05,19.51,18.82,20.34,26.8,28.14
"Srr",2.89,2.27,2.63,0.99,5.93,38.67,28.41,57.97,43.48,62.9,44.23,48.9,36.63
"Sync",1.04,1.86,0.44,0.46,0.2,0.15,0.04,0.18,0.62,0.29,0.4,0.78,0.42
"Fndc5",0.3,0.25,1.44,1.62,1.65,1.99,1.31,1.3,2.44,3.87,12.75,7.21,13.5
"Acp5",12.92,19.53,7.62,5.83,2.32,1.49,1.08,0.51,0.73,1.51,1.31,4.39,2.6
"Cnn1",0.28,0,6.69,8.56,3.23,1.68,0.78,1.16,3.17,6.64,6.25,12.77,17.67
"Fbxo9",7.57,6.92,11.97,13.83,5.62,11.4,10.44,15.26,14.09,23.69,14.68,21.05,20.15
"Vps50",20.74,19.12,11.37,15.08,20.71,15.68,12.57,14.05,19.33,20.26,14.02,17.55,13.23
"Hars1",68.4,79.92,102.02,105.2,75.78,84.13,88.22,95.09,98.59,104.67,82.62,99.28,88.57
"Zmat2",122.18,73.75,76.47,84.32,88.49,84.53,92.1,117.17,120.44,121.22,105.25,81.22,83.86
"Ube2c",334.16,400.41,316.2,312.91,121.95,225.66,223.86,166.06,189.62,182.93,153.7,209.13,207.94
"Smg5",49.68,51.09,51.02,41.8,56.81,44.58,38.33,28.4,31.06,32.77,28.23,38.26,34.44
"Cct3",730.69,772.42,777.74,891.27,407.24,374.08,287.56,239.59,281.11,339.83,235.58,324.59,307.56
"Glmp",159.42,194.86,110.3,94.41,195.63,131.54,85.87,106,108.6,143.14,94.09,173.4,146.9
"Mef2d",19.27,32.73,29.97,19.54,21.66,39.16,29.88,30.27,31.34,35.37,36.85,42.48,36.46
"Tmem79",3.73,4.47,6.62,6.32,3.23,0.44,1.3,0.98,0.13,0.97,0.89,1.04,1.33
"Snd1",96.95,134.2,84.93,83.44,123.88,109.31,77.14,76.63,83.72,96.74,85.88,106.1,102.39
"Col18a1",35.53,70.38,241.47,289.64,11.66,33.14,73.43,22.66,56.85,32.81,50.22,40.6,60.73
"Slc19a1",7.46,11.64,23.52,15.88,11.03,10.62,8.95,10.21,10.2,11.82,10.64,15.1,15.43
"Kpnb1",353.73,358.97,478.43,405.29,313.83,378.44,324.19,300.89,328.04,322.78,299.77,335.02,284.52
"Npepps",84.99,98.8,70.54,61.52,56.48,111.36,76.3,74.2,67.95,87.47,64.85,90.58,74.82
"Tbx21",3.52,4.13,1.66,0.76,0,0,0,0.03,0,0.09,0,0,0
"Mrpl10",101.03,90.71,113.37,75.97,65.7,99.2,67.06,86.34,74.48,101.21,70.38,116.19,106.48
"Cyp51",45.41,73.6,86.15,82.8,67.71,70.11,73.37,46.36,60.24,50.12,42.03,57.57,62.03
"Tcf25",120.77,109.5,145.53,126.13,144.84,171.9,144.45,256.46,272.75,238.85,192.68,228.66,194.17
