"","ESC_Rep1","ESC_Rep2","Epi_Rep1","Epi_Rep2","Meso_Rep2","OSC-D7_Rep1","OSC-D7_Rep2","OSC-D8_Rep1","OSC-D8_Rep2","OSC-D9_Rep1","OSC-D9_Rep2","OSC-D10_Rep1","OSC-D10_Rep2"
"Bdp1",4.78,8.94,11.54,11.66,13.58,8.41,11.5,13.67,14.23,11.48,10.96,8.85,6.29
"Aftph",17.4,18.24,20.82,15.4,12.44,23.84,16.49,21.73,13.09,28.52,15.74,21.79,15.97
"Morn4",8.29,12.9,11.43,10.35,15.62,23.39,16.04,24.24,23.23,21.97,15.44,17.24,17.49
"Zbtb14",9.13,12.38,11.05,12.1,11.37,18.89,17.42,17,15.69,19.37,15.54,18.02,17.65
"Catsperg1",0.23,0.11,1.66,0.32,0.27,0.51,0,0,0.05,0.97,0,0,0.23
"Urgcp",10.58,12.84,2.85,2.75,5.74,24.14,15.42,25.69,23.27,30.08,23.11,37,35.19
"Cyp2g1",0,0,0,0,0,0.08,0,0,0.06,0,0,0.04,0
"Orai1",13.62,25.65,7.96,6.97,32.46,12.73,8.54,9.63,9.85,11.56,12.16,14.37,16.09
"Pheta2",0.76,0.7,1.43,1.27,0.95,6.09,2.96,2.9,5.26,6,6.02,6.93,12.44
"Nckap5",0,0,0.02,0.1,0.16,0.73,0.72,0.83,0.9,0.54,0.42,1.08,0.66
"Nkx3-2",0,0.2,0.04,0,0,17.02,33.12,14.92,33.09,8.11,13.89,8.03,10.64
"Ucn2",0,0,0,0,0.07,0,0,0,0,0,0.06,0.15,0
"Nlrp10",0.03,0.01,0.04,0.07,0.11,0,0.02,0,0.02,0,0,0.05,0.05
"Lig4",3.23,3.88,7.13,6.28,4.77,10.42,8.9,11.15,9,10.7,6.95,9.65,6.27
"Prss46",0,0.06,0,0,0,0,0,0,0,0,0,0,0
"Gal3st1",2.05,0.76,4.66,1.96,0.16,0.3,0.05,0.05,0,0.05,0.16,1.22,0.2
"Mmp12",0.68,0.77,0,0,0,0.29,0.04,0.16,0,0.13,0.05,0.06,0
"Zfp668",7.93,8.52,10.55,10.34,8.42,26.47,12.95,14.2,10.4,13.55,11,15.46,15.36
"Trex1",9.03,10.1,2.35,2.47,6.05,10.56,9.65,12.22,11.95,13.37,10.21,13.82,13.97
"Zfp646",10.15,16.68,26.38,20.49,33.39,39.61,33.84,29.97,27.76,28.77,23.89,27.95,26.47
"Arhgap15",0,0,0,0,0,0.77,0,0.11,0.16,0.08,0.03,0,0.09
"Rpl36al",1101.73,801.43,986.6,1000.15,687.46,486.45,480.85,462.46,479.05,496.37,387.65,436.35,508.61
"Zfp672",9.11,9.56,7.04,7.49,8.47,26.73,19.19,37.12,22.28,39.87,27.46,34.4,36.4
"Micos13",136.72,115.33,92.1,86.43,92.97,148.26,102.7,165.13,143.59,201.72,145.93,196.09,228.45
"Pmis2",0.62,0.11,0.27,0.17,0.19,0,0,0,0,0,0,0,0
"Zfp280b",15.45,24.63,13.68,13.98,37.04,31.44,30.26,20.79,22.24,18.74,14.79,16.25,15.5
"Tmsb4x",364.18,568.04,186.06,257.98,340.83,489.91,390.52,843.48,663.24,1556.67,1010.41,2017.12,1691.66
"Fzd4",0.79,1.02,2.16,1.29,0.6,21.75,23.09,7.83,11.75,9.97,10.92,11.13,11.94
"Bag5",17.09,17.24,9.75,10.71,22.1,22.67,28.46,27.92,31.22,28.61,27.02,29.97,27
"Crh",0.06,0,0,0.04,0.06,0,0,0,0,0,0,0.07,0.29
"Sertad2",16.56,23.25,15.79,11.6,11,39.06,18.05,24.12,16.83,27.65,22.46,27.38,25.73
"Armcx4",3.66,5.04,17.54,15.99,19.07,35.48,45.55,40.12,47.01,36.65,35.49,34.26,30.13
"Or9s18",0.05,0,0,0,0,0,0,0,0,0,0,0,0
"Arhgap23",16.75,15.89,11.59,8.78,9.73,18.45,14.23,24.8,27.81,33.8,32.42,43.29,47.41
"Fam161a",6.38,6.76,2.83,2.62,3.26,1.36,0.78,3.2,2.57,3.9,3.66,3.04,3.66
"Zbtb12",12.64,19.02,31.53,20.25,23.06,59.77,52.24,41.33,57.53,48.95,46.46,54.39,67.49
"Ceacam19",0,0.02,0.05,0.2,0,0,0,0,0,0,0,0,0
"Suox",1.41,1.07,1.96,2.34,2.91,8.27,8.7,12.21,12.74,16.03,11.06,17.05,18.45
"Arl4c",1.46,2.58,47.44,54.27,18.93,6.83,8.01,4.57,6.67,7.92,6.65,12.46,9.16
"Nlrc3",0.41,0.23,0.63,0.79,0.04,0.08,0.39,0.02,0.03,0.11,0.24,0.08,0.15
"Calhm5",0.9,1.52,0.19,0.28,0.01,1.26,0.79,0.47,0.38,0.55,0.16,0.29,0.2
"Rlf",13.24,19.03,17.89,19.61,26.48,19.59,22.82,22.11,26.23,24.33,19.93,19.59,16.98
"Vcpkmt",16.84,12.28,15.72,12.9,18.38,13.07,11.13,14.75,14.44,13.75,13.99,14.96,18.48
"Rasd1",0.44,0.17,1.07,0.63,1.2,0.4,0.85,0.19,1,0.18,0.72,0.42,0.69
"Stkld1",0,0.03,0.03,0,0,0,0,0.1,0,0,0,0.08,0
