"","ESC_Rep1","ESC_Rep2","Epi_Rep1","Epi_Rep2","Meso_Rep2","OSC-D7_Rep1","OSC-D7_Rep2","OSC-D8_Rep1","OSC-D8_Rep2","OSC-D9_Rep1","OSC-D9_Rep2","OSC-D10_Rep1","OSC-D10_Rep2"
"Bola3",295,350,550,507,302,291,197,289,233,394,237,259,281
"AI467606",188,265,60,94,31,7,9,5,14,5,17,5,7
"Amer3",0,0,3,0,117,9,2,13,3,53,20,76,12
"Borcs6",258,336,268,227,188,356,310,421,291,411,405,578,363
"Sox3",112,170,2434,2362,19,21,2,3,9,21,3,76,22
"Shroom2",1010,1933,5974,7445,1184,669,658,467,475,730,635,730,410
"Cirbp",409,395,665,776,288,2010,1300,1926,1701,1652,2141,1508,882
"Lrrc3b",17,11,59,70,20,34,42,96,71,141,68,91,52
"Dpy19l4",202,418,633,807,1196,1057,1007,1250,1041,1425,1350,1171,625
"Vcpip1",426,816,865,1110,1029,1547,1639,1732,1322,2038,1822,1578,880
"Nudt18",66,98,96,96,99,87,71,135,59,145,96,135,111
"Asxl3",36,54,156,147,44,1110,1276,1672,1205,1526,1581,1151,591
"Hs6st1",2950,4652,2225,2546,432,1068,715,791,674,1232,1420,1553,1066
"Rln3",25,25,40,37,0,0,0,0,0,0,0,0,2
"Krtap5-4",0,0,0,0,0,0,0,0,0,2,0,0,1
"Eola1",303,424,323,527,434,332,349,489,315,460,380,314,215
"Kcng4",4,5,5,6,0,0,1,1,0,2,1,6,0
"Med26",627,767,884,729,519,656,502,654,412,810,522,898,455
"Zfp688",101,145,280,233,126,161,163,152,118,162,141,142,104
"Zfp574",815,1390,1180,1116,677,1553,1192,1183,826,1337,1197,1420,1023
"Morn2",102,81,83,95,57,97,73,119,97,161,89,96,75
"Klhdc9",12,9,30,5,8,31,24,49,34,43,22,24,17
"Zfp691",69,92,112,98,121,188,220,200,145,180,159,124,93
"Cenph",701,594,628,793,473,385,424,366,351,429,474,343,192
"Lca5l",2,4,1,11,5,149,93,95,44,74,79,71,45
"Gpr20",51,38,13,25,24,56,42,43,39,70,69,92,89
"Tmem86b",19,27,15,19,18,51,28,34,26,37,24,27,20
"Dcaf12l1",233,795,120,200,23,198,123,113,81,145,264,212,211
"Rtn4rl1",171,268,641,608,2,31,29,40,18,97,144,171,95
"Ush1g",3,1,10,6,0,0,3,3,1,1,1,0,2
"Insig1",4299,7976,6528,8035,2255,3025,2048,1754,1169,1555,1516,1679,1185
"Preb",1161,1347,1762,1817,997,1462,1354,1269,986,1770,1668,1632,1217
"Lhfpl2",184,222,88,133,753,3702,3191,4818,3186,7197,7295,6277,4644
"Sowahb",20,66,75,128,19,3,6,0,10,5,2,21,11
"Fahd1",151,122,248,313,127,265,203,402,247,486,337,307,230
"Adra2c",1,11,62,55,29,14,5,7,5,9,4,11,6
