"","ESC_Rep1","ESC_Rep2","Epi_Rep1","Epi_Rep2","Meso_Rep2","OSC-D7_Rep1","OSC-D7_Rep2","OSC-D8_Rep1","OSC-D8_Rep2","OSC-D9_Rep1","OSC-D9_Rep2","OSC-D10_Rep1","OSC-D10_Rep2"
"Gnai3",2061,2764,4166,5924,3374,5724,5243,5599,4258,6782,6587,5321,3393
"Cdc45",1149,1498,1130,1389,592,796,909,539,447,708,665,556,358
"Scml2",91,316,145,356,127,178,182,232,144,355,218,267,125
"Apoh",4,11,0,0,0,2,3,0,0,3,2,4,1
"Narf",415,656,866,845,321,1201,1170,1236,858,1210,1040,901,585
"Cav2",0,0,2,6,12,25,39,104,69,194,168,154,104
"Klf6",805,1166,1369,2159,1620,666,699,1025,602,1798,2119,2027,1302
"Scmh1",612,1261,501,740,960,1294,1040,691,466,948,752,821,519
"Cox5a",8711,8263,4145,5435,2287,2077,1853,1439,1159,1941,1407,1485,1120
"Tbx2",25,67,9,5,261,4698,2603,3314,1773,4203,4124,4842,3237
"Tbx4",20,50,67,52,35,31,133,1,19,1,5,3,7
"Ngfr",1229,1944,74,121,882,337,192,582,546,1000,1774,2248,1642
"Wnt3",11,8,269,245,270,1,4,4,1,1,7,15,2
"Wnt9a",19,17,60,39,82,30,70,62,66,109,217,142,112
"Fer",499,669,448,735,360,633,717,747,627,966,932,719,478
"Xpo6",2488,5321,4360,4906,3820,2954,2545,2552,1878,2927,2683,2951,2139
"Tfe3",1850,3803,3418,4387,1162,1414,949,1300,875,1447,1054,1379,885
"Axin2",876,1150,475,374,16723,658,703,616,478,571,780,619,408
"Brat1",264,565,488,436,319,513,386,539,303,626,455,658,393
"Gna12",691,1573,1805,2013,931,2945,2220,2291,1608,3253,2995,3647,2441
"Slc22a18",48,35,29,20,19,3,1,4,9,19,8,11,14
"Itgb2l",0,0,0,0,0,0,0,0,0,0,1,0,0
"Igsf5",2,0,2,6,0,28,21,9,1,7,5,12,3
"Pih1d2",8,10,29,32,25,33,29,27,11,14,17,12,11
"Dlat",1869,2731,3315,3226,1552,1393,1087,1103,764,1503,1187,1347,734
"Sdhd",3133,3442,3128,4103,2218,2019,2019,1742,1347,2026,1901,1777,1336
"Fgf23",1,4,4,0,0,1,0,0,0,0,0,0,0
"Fgf6",0,0,0,1,0,0,0,0,0,0,0,0,0
"Ccnd2",46,64,575,759,6939,7741,8474,3939,3497,5256,5814,6678,3564
"Gpr107",1274,2224,1287,1601,1261,1786,1613,2111,1534,2670,2529,2382,1733
"Nalcn",9,16,30,26,0,50,9,34,2,55,32,56,30
"Btbd17",0,3,253,226,9,11,2,7,12,7,8,12,13
"Slfn4",0,1,2,0,0,0,0,0,0,0,0,0,0
"Th",0,4,6,16,0,19,9,9,8,5,4,0,7
"Scnn1g",0,0,0,0,0,3,0,0,0,0,4,0,0
"Drp2",8,36,11,13,18,114,69,197,139,382,384,462,285
"Tspan32",3,13,11,15,0,3,1,12,5,15,14,3,3
"Lhx2",62,139,38,27,34,99,128,95,215,238,494,330,416
"Clec2g",0,2,0,0,0,0,0,0,0,0,2,0,0
"Gmpr",88,68,184,175,146,118,108,155,156,288,363,327,305
"Glra1",0,0,0,0,28,1,0,0,0,2,8,9,0
"Mid2",8,5,12,25,292,197,133,199,121,352,355,400,203
"Trim25",2509,4488,3449,3561,1537,1062,836,890,579,1345,1278,1769,826
"Dgke",492,738,355,414,167,354,184,258,132,347,255,327,125
"Scpep1",5388,5619,2486,2569,2482,2431,1728,2148,1363,2988,2297,2784,1621
"Mnt",1360,2422,1737,1418,640,3085,1544,1683,1060,1844,1544,1727,1169
"Itgb2",1,10,15,14,10,2,0,1,3,0,2,1,7
"Hddc2",573,496,718,743,1103,566,563,491,407,600,498,408,290
"Tpd52l1",389,374,314,418,695,731,1144,376,550,370,416,227,216
"Pemt",96,90,191,175,78,83,70,67,28,82,50,115,47
"Cdh1",12015,10299,25206,26901,1340,118,63,78,67,234,156,673,213
"Cdh4",198,716,341,436,713,74,61,48,48,87,105,139,63
"Ckmt1",310,376,139,158,33,5,2,15,4,28,21,48,22
"Bcl6b",18,21,176,120,7,83,238,252,231,402,486,228,282
"Clec10a",3,4,2,7,0,1,0,1,0,0,0,0,1
"Alox12",209,254,98,71,5,7,8,8,8,7,16,5,6
"Comt",439,560,391,415,684,450,319,422,260,556,474,612,467
"Rtca",969,1333,1618,1650,970,1122,1057,908,704,1033,808,885,640
"Dbt",560,627,946,1250,600,403,412,531,323,644,506,443,234
"Dazap2",1633,1865,1901,2048,1650,3472,2801,2725,2077,2938,2406,2520,1450
"Mcts1",341,476,575,939,411,336,256,373,277,469,362,289,254
"Rem1",0,0,16,4,1,32,17,16,12,31,20,39,43
"Rnf17",1207,1931,956,2051,150,39,42,42,34,42,48,63,26
"Trappc10",248,622,886,865,417,1243,958,1181,735,1450,1194,1437,779
"Ccm2",676,728,1748,1452,1046,1646,1374,1345,848,1834,1440,1805,1266
"Tbrg4",3362,4155,5326,4283,1295,1729,865,886,504,1111,708,1244,669
"Tmprss2",0,2,15,11,46,9,19,12,8,33,12,108,33
"Fap",0,0,0,0,0,1,2,4,11,29,58,32,51
"Gcg",0,0,0,0,0,0,0,1,0,4,0,1,0
"Ndufa9",2390,2421,2302,3217,1287,1777,1559,1865,1303,1869,1825,1508,1060
"Egfl6",236,323,126,182,10,83,61,109,126,234,364,259,255
"Lck",565,487,377,369,162,138,122,103,76,83,113,99,66
"Tssk3",0,0,3,3,0,0,0,0,0,0,0,0,0
"Cttnbp2",46,96,19,20,31,185,165,238,211,305,277,333,182
"Galnt1",1546,1998,947,1463,2271,2913,2918,3096,2510,4200,3932,3457,2091
"Myf5",0,0,2,5,0,1,0,0,0,0,0,0,0
"Mkrn2",820,890,1085,1146,588,870,667,880,618,1210,912,1030,728
"Pparg",0,0,1,2,1,218,61,66,25,64,22,75,9
"Raf1",2347,3599,3030,3496,1561,3458,2740,2862,2201,3666,2859,3250,2165
"Septin1",3596,4411,407,818,17,96,100,49,37,90,51,50,22
"Pdgfb",29,52,53,50,10,20,56,57,52,134,158,107,119
"Acvrl1",3,5,10,17,57,82,150,138,154,189,182,157,127
"Tamalin",268,508,178,170,262,82,124,225,208,249,354,249,246
"Acvr1b",410,621,758,761,996,945,1040,956,685,909,833,908,500
"Tom1l2",176,457,324,294,188,1230,828,1692,987,2134,1653,2081,1134
"Gpa33",1914,2792,410,808,18,14,9,2,2,16,7,66,11
"Zfp385a",730,1051,976,927,1253,2335,1774,980,880,1070,1021,1241,951
"Itga5",360,587,925,1069,960,1352,1651,1523,1365,2478,2346,2801,2142
"Gabra2",0,0,3,2,0,0,0,7,4,20,16,22,5
"Wdr77",3089,4189,5932,7001,2616,2447,2064,1688,1250,2099,1702,1828,1293
"Atp5pb",5299,5761,7102,9127,4222,5361,5009,5411,4089,6408,5319,4753,3231
"Sox9",4,2,40,25,98,3479,1349,2613,1186,2131,1626,1773,869
"Hnrnpd",8744,8073,8997,15125,9293,11812,14906,11829,10968,10353,12298,6940,4845
"Dynlt1c",13,18,18,32,22,38,55,39,54,33,42,26,6
"C1d",752,701,1109,1247,642,1906,1430,2927,1769,3878,2487,2500,1521
"Gm2a",956,1497,653,596,151,639,428,711,417,1044,927,943,651
"Krit1",303,461,530,501,559,684,617,752,508,891,712,688,404
"Clcn4",151,250,270,344,478,1552,1162,1739,993,2121,1833,1957,1277
"Vmn2r88",0,0,0,0,0,0,0,0,0,3,0,0,0
"Grm6",1,0,72,72,2,0,0,0,0,1,0,0,0
"Sema4f",126,265,80,72,32,13,8,22,23,36,40,81,45
"Hk2",5108,8682,5097,6530,3747,720,956,530,456,565,493,586,344
"Myo18a",786,1047,744,688,720,1511,1190,1713,1117,1859,1738,2004,1012
"Sez6",4,24,111,73,0,37,1,141,15,291,43,315,44
"Haao",4,0,2,0,1,2,0,4,0,1,4,5,3
"Cd52",1,0,0,0,2,0,0,6,5,6,14,10,3
"Abhd15",8,19,14,10,11,10,7,16,3,22,9,32,11
"Hoxb6",2,1,0,0,2204,764,251,323,148,309,200,255,142
"Loxl3",3,20,54,70,16,415,411,626,528,867,738,672,525
"Btn1a1",1,9,5,3,15,14,13,1,15,4,10,9,8
"Kat2b",1360,2534,1325,1917,70,356,166,430,189,428,321,361,144
"Rab5b",1247,1765,1046,1096,1490,3213,2768,3609,2504,4287,3742,3528,2457
"Cryba1",0,0,1,1,0,0,0,0,0,0,0,0,0
"Dnmt3l",444,496,6884,13535,104,21,5,30,9,77,24,105,17
"Aire",24,25,166,186,0,0,0,0,3,0,0,1,1
"Icosl",68,98,302,250,52,43,45,45,16,76,77,91,66
"Spg7",796,927,1195,1309,1006,1381,1042,1103,781,1318,1090,1315,673
"Sult5a1",2,2,29,18,9,58,49,98,29,154,100,150,80
"Rpl13",22265,17755,26247,29436,18538,16995,13206,9446,8160,11520,10970,7582,7503
"Chmp1a",2061,2017,2332,2404,1045,1907,1378,1851,1133,2412,1973,2434,1596
"Rpa1",6711,8140,8121,7966,3206,4819,3683,4424,2909,6046,4872,4792,3046
"Serpinf1",37,38,874,384,148,1952,1602,1106,1028,1315,1699,1015,1048
"Tubgcp3",482,794,1004,946,555,1810,1248,1577,904,1804,1221,1592,774
"Oprm1",0,0,1,6,0,0,0,0,0,0,2,6,2
"Polr3d",430,650,1039,1272,886,501,606,527,467,576,580,478,355
"Tcf7",1196,1743,3533,2722,5514,565,578,270,272,304,351,326,220
"Ddx3x",10563,17211,26424,34589,15160,15861,14313,12816,9950,14969,15271,13071,6681
"Il12rb1",26,11,63,52,13,3,2,3,0,0,1,3,0
"Slc5a5",28,15,541,485,1,7,3,5,3,8,5,11,4
"Kcnn3",4,2,6,6,3,181,207,762,315,664,623,436,275
"Usp32",792,1190,1322,1177,976,1790,1369,1829,976,2237,1647,1831,865
"Car4",4,0,7219,7333,112,2,3,6,12,24,25,46,36
"Txnrd3",326,380,397,517,250,391,349,367,232,379,309,310,181
"Fasl",0,0,1,0,70,0,0,0,2,0,0,1,0
"Zfp512b",182,300,981,745,256,2686,1945,2174,1631,2747,2823,2743,1653
"Dnajc5",1379,2281,2612,3046,2784,3754,3212,3491,2739,4342,4027,4095,2570
"Tpd52l2",1360,1741,2254,2408,1357,1717,1937,1807,1485,2362,2000,1696,1203
"Fmr1",1143,2166,1554,2248,1493,1888,1652,1568,1271,2105,2335,1912,1082
"Bcl11a",65,42,790,624,94,2243,1909,2754,1915,2986,2671,2151,1231
"Il4",0,0,0,0,11,0,0,0,0,0,0,0,0
"Pxmp4",163,276,108,126,121,687,449,826,491,840,728,737,490
"Dlg3",495,536,793,964,393,1275,1295,881,685,902,767,674,424
"Gnb1l",271,325,323,347,182,123,132,120,88,174,158,194,89
"Dbh",0,0,0,0,0,41,11,25,30,27,27,17,15
"Mmp11",384,713,363,358,71,1976,1532,2154,1832,2990,3057,2816,2288
"Smarcb1",2275,2791,3172,3316,1885,3469,2656,3143,2405,3555,2955,2839,2047
"Vpreb3",3,7,3,2,0,0,0,0,0,0,0,0,2
"Hip1r",432,662,525,363,177,203,153,98,106,199,196,379,209
"Nsun5",280,479,853,906,317,266,209,155,125,222,148,207,152
"Top1mt",74,73,255,262,674,53,71,101,121,191,179,191,109
"Hoxa10",22,98,2,0,184,273,644,121,323,119,314,136,241
"Hoxa4",2,15,0,4,59,897,515,332,267,513,437,568,356
"Mmp14",83,90,402,490,605,4444,4775,7262,5522,10274,10696,13588,8967
"Slc7a7",353,354,5194,6641,313,191,214,114,108,121,123,162,103
"Oxa1l",2227,2883,2732,2530,2178,2875,1997,2507,1452,3028,2366,2879,1886
"Heatr6",675,975,1316,1152,500,1408,880,1185,657,1401,1029,1282,708
"Ccl3",0,0,4,0,0,0,0,2,0,0,1,0,19
"Wfdc18",0,0,0,0,0,0,0,1,2,4,2,12,1
"Icam4",17,13,29,48,5,0,0,3,0,0,0,0,0
"Ilf2",3343,4400,4049,4602,3113,4794,4728,3775,3424,4857,3971,3440,2424
"Chtop",3426,4340,4287,5068,2793,4470,3991,4155,3223,4794,4477,4144,2798
"Snapin",528,662,828,799,342,769,468,934,555,1027,761,811,536
"S100a4",0,0,0,0,8,1,0,22,17,33,14,10,11
"S100a3",0,0,0,3,89,0,0,0,3,1,0,0,0
"S100a5",0,0,0,0,0,0,0,0,0,1,0,0,0
"S100a6",36,50,39,86,362,10,9,74,64,128,146,192,120
"Scn4a",2,0,3,4,7,9,4,2,0,4,4,5,1
"Icam2",12,15,0,3,0,28,104,91,118,219,179,102,129
"Mapk7",1045,1305,2006,1372,1073,3202,1988,2650,1637,3246,2779,3338,2230
"Epn2",2052,2767,2217,1899,704,1305,984,1105,718,1542,1199,1578,874
"B9d1",236,200,804,809,208,401,293,444,217,509,379,407,287
"Sec24b",868,1501,1563,1451,1585,2818,2151,2179,1560,2651,2264,2487,1628
"N4bp3",1476,1527,657,574,75,122,261,141,218,299,336,198,262
"Rmnd5b",918,1372,560,461,217,696,303,666,425,1149,763,987,601
"Nhp2",5858,4979,9117,8849,1923,1288,1039,970,666,1274,1081,1149,759
"Vps9d1",93,132,167,91,95,621,315,549,258,652,492,728,401
"Zfp276",102,157,220,126,112,308,211,321,187,433,350,426,238
"C1ql4",4,3,12,6,0,3,0,1,2,3,0,3,1
"Mfsd10",861,1470,1270,1378,574,732,531,546,441,828,757,1132,822
"Luzp1",1063,1556,2692,2410,1826,1982,2327,1948,1697,2268,2273,1836,1089
"Slc13a2",11,34,0,0,0,1,0,0,0,0,0,0,0
"Kctd10",719,888,1237,1332,1597,2462,1873,2598,1637,3398,2774,3720,2133
"Poldip2",2850,3331,3650,3074,2351,3057,2261,2928,1777,3569,3092,3568,2205
"Sebox",0,0,0,0,0,0,0,1,0,3,0,0,0
"Ift20",448,354,528,492,287,676,470,690,406,865,692,689,472
"Col6a1",12,8,20,23,91,355,834,2579,3384,8390,15789,17101,13922
"Pcbp3",268,288,600,510,343,816,538,867,492,896,690,799,564
"Lgals9",48,36,38,69,5,23,6,27,17,96,77,316,147
"Araf",534,845,1045,1225,761,1026,721,923,591,1082,834,987,612
"Cfp",403,640,16,13,18,20,16,13,7,15,11,18,13
"Timp1",963,1128,193,294,68,384,301,359,237,454,353,456,244
"Uxt",387,462,602,777,230,269,251,215,187,241,188,187,132
"Cnnm3",338,627,1059,1100,620,860,696,709,504,748,792,917,656
"Lman2l",290,392,503,485,476,1148,862,1107,815,1277,996,1053,695
"Mcm3ap",4514,6568,5055,6379,1856,2194,1988,1997,1744,2313,2309,2118,1360
"Pcnt",1530,2653,2600,2365,1161,1796,2039,1478,1285,1443,1661,1405,887
"Ftcd",0,0,3,1,0,0,0,0,0,0,0,0,0
"Mxd1",80,99,71,74,90,414,388,564,365,552,524,452,248
"Gmcl1",731,937,852,1122,355,819,709,870,619,954,939,803,542
"Snrnp27",952,869,1016,1344,758,893,1016,1176,922,1180,1070,787,529
"Oas1c",97,98,79,127,7,16,9,10,3,14,11,22,8
"Ocrl",496,1170,558,688,636,903,737,1030,642,1212,1134,1002,592
"Calm1",4310,5916,9355,12612,3941,5130,4657,5331,4515,8442,8154,9367,6303
"Agpat3",731,1476,1200,1845,568,1413,1032,1436,874,1855,1644,2071,1347
"Slc26a3",0,0,1,0,8,0,0,0,0,0,0,0,0
"Sema6b",80,102,187,144,47,42,44,44,43,107,121,147,95
"Uhrf1",8068,13311,9409,13243,5317,4478,5172,2600,3032,3361,4165,3174,2209
"Dpp9",681,1178,1885,1781,944,1255,863,867,636,1135,1016,1176,852
"Ramp2",45,41,102,73,27,272,325,674,552,1226,1085,1409,1166
"Lsr",143,69,3003,2699,1577,777,476,224,204,302,295,656,279
"Gramd1a",403,809,543,404,628,1371,874,865,530,1056,740,1055,666
"Hpn",0,1,214,185,49,6,16,2,9,8,4,20,3
"Gabrg1",0,0,2,0,1,1,0,1,0,5,0,5,1
"Ckb",20997,23880,1172,1242,198,188,57,187,78,267,208,639,338
"Sp1",2757,4879,4823,5625,3578,4339,4457,4057,3042,4388,5030,3911,2598
"Itgb7",183,120,56,59,7,12,5,3,4,1,3,7,1
"Myg1",774,800,875,968,654,1042,874,875,645,992,822,960,695
"Rarg",770,993,4291,3672,1723,711,761,872,540,1358,1112,1576,912
"Pfdn5",1441,1239,1640,1837,2131,2591,2941,3496,2947,3644,3855,2322,2145
"Efnb2",101,99,2182,2854,433,11361,6060,9531,5189,8003,6004,4880,2688
"Rrp15",1587,1372,1995,2535,1499,715,820,680,579,758,621,595,309
"Rnd2",539,407,746,625,101,264,279,269,252,339,409,428,302
"Srr",67,95,67,62,173,1176,802,1677,856,1928,1297,1300,738
"Sync",28,56,15,18,5,4,1,5,12,8,12,19,7
"Fndc5",11,10,67,86,56,71,49,49,65,148,531,242,310
"Acp5",221,375,168,147,37,25,19,9,9,27,26,69,28
"Cnn1",1,0,215,239,49,24,18,21,36,96,91,245,175
"Fbxo9",168,186,390,398,133,284,240,417,250,628,425,535,315
"Vps50",779,992,705,911,835,714,535,738,553,941,778,748,380
"Zmat2",3010,2414,2892,3694,2381,2451,2689,3329,2437,3147,3467,2260,1571
"Ube2c",3922,5266,4748,5398,1345,2614,2701,2023,1631,2267,2063,2256,1548
"Smg5",2304,3368,3680,3549,3006,2275,2090,1581,1242,1958,1823,1956,1234
"Cct3",14228,16771,18851,26281,9126,7870,7142,6046,4997,7621,6622,6081,4060
"Glmp",1494,1941,1273,1376,1897,1345,988,1217,805,1522,1219,1610,1082
"Mef2d",909,1806,1502,1349,904,1854,1412,1552,1168,1867,1678,1842,1206
"Tmem79",105,136,220,280,67,13,18,14,3,22,17,21,21
"Snd1",4401,6613,4765,5584,4370,4947,3674,3534,2830,4545,4160,4533,2987
"Col18a1",2213,4815,19604,27583,610,2141,5066,1542,2784,2285,3909,2487,2472
"Slc19a1",214,340,820,677,284,296,247,256,206,318,272,349,241
"Kpnb1",25513,31417,47942,46409,18166,29148,25107,22265,16069,26100,23359,24044,13949
"Npepps",4446,5661,4827,4786,2557,5531,4121,3949,2484,4703,3787,4517,2489
"Tbx21",114,150,69,36,0,0,0,1,0,3,0,0,0
"Mrpl10",2202,2171,3166,2436,1308,2131,1511,1961,1192,2332,1762,2344,1472
"Cyp51",2361,3666,4391,6130,3056,3397,3230,2450,1858,2742,2346,2464,1681
"Tcf25",3731,4199,6489,6015,3187,5321,3673,6268,3708,7477,5450,7383,3707
"Tubb6",1423,2654,4665,4679,4132,1229,1164,1022,856,2110,2263,3657,2436
"Def8",1497,2497,1894,1947,634,1208,834,1223,868,1588,1211,1490,903
"Meox1",4,15,7,24,9,1323,750,385,320,309,172,239,107
"Sost",1,2,2,7,0,1,0,0,0,0,1,14,8
"Nkx2-1",0,0,0,0,0,0,1,0,0,0,0,0,0
"Pax9",8,7,2,4,0,3,5,1,6,3,7,3,7
"Irx2",106,150,40,35,25,118,28,129,63,81,43,37,24
"Col1a1",82,138,53,36,4121,21920,14662,20947,18253,31936,46103,72969,57610
"Itga3",526,877,5759,4367,72,173,166,119,159,425,413,908,431
"Sgca",5,2,2,0,0,2,2,3,0,8,3,5,4
"Dlx3",3,3,33,21,278,18,28,9,13,21,18,22,10
"Foxm1",911,1592,1708,1753,1000,2792,2216,1666,1475,2382,2081,2314,1581
"Itfg2",573,806,726,708,419,554,458,368,331,423,411,427,340
"Nrip2",0,0,6,0,0,4,9,23,15,30,45,30,29
"Tulp3",885,1448,1729,1935,2263,1030,921,1154,831,1483,1552,1457,1040
"Gtf2h4",697,827,1341,1380,608,616,463,504,355,575,491,546,339
"Tubb5",52780,72121,74677,86104,37195,65881,56612,43683,34454,51806,54086,56427,39039
"Ell2",966,1141,860,1291,259,124,109,99,70,175,115,162,84
"Jup",3072,4753,1830,1878,2287,2541,2211,2242,1572,2745,2248,3405,2287
"Fkbp10",39,63,739,658,1133,3773,2761,5256,3321,7445,6664,7254,4540
"Klhl10",20,26,27,15,19,17,3,13,19,30,16,14,16
"Mnx1",45,47,33,29,11,9,2,10,2,8,6,14,6
"Nom1",918,1111,1750,1718,1102,1030,1037,1103,784,1081,1073,870,533
"Ergic1",2221,3676,2896,3288,2312,5489,4017,3752,2931,5112,4461,4998,3769
"Tnk1",114,90,364,254,21,4,6,5,4,11,5,25,6
"Acap1",46,20,60,37,37,12,31,77,93,110,188,110,104
"Tcea3",1321,1328,1378,1670,110,38,35,40,46,78,61,100,48
"Csn3",0,0,11,2,0,14,15,5,0,10,4,13,1
"Ifrd1",803,846,4066,3964,792,469,333,387,337,574,361,463,239
"Stk38l",669,1046,644,782,492,378,391,328,306,382,429,380,233
"Brpf1",682,1259,1773,1530,923,1168,1176,989,695,1053,882,945,626
"Hoxc13",147,239,9,16,75,6,0,1,0,2,0,0,1
"Hoxc11",0,13,0,0,117,23,67,7,29,11,9,5,6
"Hoxc8",1,1,0,1,857,2125,1000,1503,582,2061,1542,1281,775
"Hoxc6",6,3,0,2,740,1360,713,977,429,967,704,715,459
"Gstt1",7,1,71,62,7,80,30,93,40,276,178,421,258
"Gstt3",119,121,128,120,94,100,73,64,59,149,196,344,223
"Ddt",726,796,1079,1059,717,373,326,418,289,414,406,341,205
"Tat",3,4,1,2,2,0,0,0,0,2,0,0,0
"Marveld3",19,5,220,139,9,0,0,1,0,0,10,4,4
"Ddx18",3763,4797,5915,6897,2692,1872,1728,1509,1074,1869,1508,1578,965
"Ubl3",1080,1348,1065,1174,386,788,555,626,458,959,842,965,637
"Eef1e1",1573,1672,2124,2552,1062,597,444,398,301,607,326,471,282
"Akt1",1254,1717,1492,1708,2115,5995,5287,4403,3620,5763,6529,6460,4834
"Cldn15",0,4,0,1,2,11,2,6,5,3,5,10,7
"Il16",0,0,1,0,1,9,13,13,12,20,11,4,11
"Tcirg1",205,403,302,500,433,119,124,146,80,216,180,270,191
"Naglu",37,66,116,70,173,253,208,382,233,531,540,778,524
"Coasy",809,829,1074,750,630,918,663,829,556,890,790,893,574
"Smo",465,928,2333,2967,1647,5141,4786,3811,3351,4928,4963,5203,3889
"Tspan33",93,87,272,207,37,20,4,9,6,22,23,41,19
"Crnkl1",1341,1440,1559,1939,931,1068,1190,1311,1086,1377,1308,980,663
"Rin2",37,46,112,141,161,434,483,560,409,838,1159,853,676
"Folh1",3,2,31,28,2,0,0,1,0,0,2,0,0
"Chordc1",1341,1358,1317,2048,1349,1400,1395,1171,1028,1587,1426,1037,699
"Rtcb",4315,4505,5773,7454,5103,3968,4373,3871,3259,4333,4215,3484,2325
"Pwp1",1898,2241,3127,3985,1395,1369,1397,1271,1008,1427,1218,1229,717
"Fbxo7",350,390,372,399,298,268,185,235,172,321,231,325,197
"Capns1",7054,9510,2670,3575,2264,4684,3234,3989,2802,5024,4762,5439,4305
"Lrp3",103,222,325,306,267,1266,905,883,615,1019,1019,1083,727
"Dsg4",0,0,0,0,0,1,0,0,0,0,0,2,0
"Evx2",0,0,0,0,0,8,9,7,4,4,13,7,8
"Hoxd13",42,76,73,121,118,8,98,4,37,10,39,23,26
"Hoxd12",1,1,0,1,14,2,61,0,32,0,4,2,10
"Folr1",1221,1840,1358,2749,18,33,14,27,14,54,23,122,36
"Clpb",1940,2553,2572,2665,839,2579,1567,1451,1085,2064,1391,1667,1078
"Septin7",2126,2326,2513,3729,2352,5031,4894,6516,4771,8180,6980,5375,3295
"Zdhhc4",341,445,433,503,334,528,383,485,345,607,513,586,452
"Rac1",3017,4136,5244,6617,4758,8620,6864,6849,4964,8750,7833,8293,5887
"Nup214",2861,4480,4468,4908,2114,2870,2168,2026,1451,2053,2016,2199,1569
"Aif1l",204,214,777,603,424,943,1083,398,466,571,650,479,394
"Ltbp1",229,375,525,541,184,6127,6509,3756,4474,4553,6253,3811,3205
"Ugp2",772,779,878,1087,704,1880,1593,2704,1773,3511,2797,2435,1334
"Kcnh6",8,8,101,47,0,2,0,1,0,2,3,4,4
"Trmt1",1760,2086,3231,2840,1745,1673,1167,1172,647,1298,865,1188,660
"Nacc1",6235,7964,11325,9939,5421,6943,4175,3766,2435,5011,3491,5035,2435
"Nfix",235,342,69,76,12,119,26,1339,489,4144,4608,8498,4759
"Slc1a5",1845,3646,4582,4650,3741,253,232,61,88,116,174,218,154
"Uba1",15429,24604,15778,20409,9206,13548,10471,10228,7572,11882,11224,11522,7952
"Vwf",397,1023,42,77,5,2,20,2,13,16,8,4,10
"Siae",253,376,293,403,115,316,249,679,491,985,828,786,520
"Vsig2",42,32,12,10,0,0,0,0,0,2,2,0,2
"Esam",18,23,4,18,7,40,135,82,96,190,182,76,142
"Spa17",30,20,30,46,24,29,46,134,76,97,74,38,32
"Fam50a",1304,1824,1897,2005,1485,1051,1035,1262,977,1568,1335,1164,762
"Emd",1351,2473,2299,3053,1063,1812,1855,1710,1367,1871,1921,1576,1255
"Taco1",433,436,533,568,281,373,375,555,361,497,445,400,267
"Grik3",652,1806,710,480,1614,79,25,42,33,69,150,106,112
"Gria3",11,12,63,165,99,693,617,686,533,1329,1543,1281,766
"Npas1",1,0,12,12,15,1,0,0,0,0,0,0,0
"Sipa1l2",1217,2048,2096,1684,983,838,991,801,934,996,1179,1144,730
"Ap4e1",236,416,683,700,343,265,312,298,157,317,277,306,144
"Blvra",165,177,208,288,122,199,160,313,186,456,374,379,237
"Pdzd4",629,853,5348,5277,193,737,658,691,603,978,988,1012,840
"Srpk3",0,0,0,1,0,0,0,1,0,0,2,1,0
"Idh3g",2699,3711,2915,3443,1364,2201,1253,1792,1057,2068,1523,1796,1226
"Pnck",26,37,13,9,2,22,15,22,21,42,42,85,37
"Ssr4",747,1385,948,1375,1079,837,606,801,554,968,831,930,805
"Bcap31",1925,2671,1959,3123,1385,1568,1259,1335,985,1957,1656,1706,1177
"Fam98a",1286,1489,1674,1929,650,803,652,787,551,927,929,953,541
"Ltbp2",4,0,8,7,3,0,1,0,4,0,5,3,5
"Kmt2a",459,1018,1840,1327,1654,2113,2145,2346,1762,2488,2738,2342,1577
"Ift46",1321,1395,1099,1115,961,1633,1273,1486,1008,1740,1442,1252,956
"Tmem25",8,10,27,15,7,7,12,7,18,5,12,13,9
"Cd3g",98,183,1,9,0,0,0,0,0,0,0,0,0
"Trappc6a",175,231,239,258,390,295,280,221,164,266,236,175,168
"Supt6",4565,4535,11281,10733,4168,7756,5926,8013,4904,7633,6885,6291,3775
"Spag5",961,1156,1530,1399,1049,2042,1745,1481,1192,1889,1489,1579,931
"Foxn1",4,13,1,3,0,0,0,0,0,0,0,0,0
"Unc119",625,583,784,659,605,1510,1106,1377,853,1537,1399,1455,923
"Rab34",436,457,1108,866,1107,2155,1457,1769,1090,2248,1668,2048,1290
"Sdf2",572,522,882,774,948,1502,971,1519,960,1938,1364,1588,1159
"Ccne1",1872,3252,4925,5685,917,871,778,573,453,886,740,880,640
"Hsf2bp",1356,1698,1111,1329,33,21,25,46,11,41,25,39,16
"Bbc3",371,498,1029,926,287,255,246,171,117,176,161,282,127
"Mybpc3",48,56,8,2,0,0,1,0,4,5,6,6,5
"Psmc3",4911,4986,6526,7524,3306,4412,4157,4466,3506,5018,4939,4069,2814
"Acp2",333,382,656,665,854,1649,1439,2101,1445,2188,2011,1794,1113
"Rapsn",70,159,39,28,0,1,1,0,0,5,3,2,0
"Slc39a13",107,182,113,104,105,327,245,349,229,483,421,513,394
"Celf2",114,210,305,358,630,581,256,497,342,1031,897,1535,702
"Nr1h3",1,9,10,4,20,9,3,6,2,7,2,18,4
"Ddb2",129,179,270,248,108,77,69,65,56,96,87,76,60
"Spi1",14,21,24,17,0,0,2,0,0,0,6,1,7
"Sf3a1",7342,8054,9796,9842,5241,8811,6472,6578,4455,7003,5886,5998,3755
"Stat6",585,762,728,764,425,291,455,421,392,647,682,706,515
"Clgn",28,62,181,157,10,45,42,8,16,15,11,37,7
